City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,Makkah al Mukarramah,21.4267,39.8261,21.27,70,82,2.41,SA,1675722511
322,Maun,-19.9833,23.4167,23.13,69,99,1.55,BW,1675722547
323,Redlands,34.0556,-117.1825,19.42,22,0,5.36,US,1675722548
324,Gari,59.4307,62.3497,-24.08,100,100,1.38,RU,1675722549
325,Muros,42.7762,-9.0603,8.24,68,0,3.52,ES,1675722433
326,Urucará,-2.5364,-57.76,25.12,90,29,1.35,BR,1675722552
327,Esperance,-33.8667,121.9,19.45,91,2,6.49,AU,1675722411
328,Pokhara,28.2333,83.9833,12.64,66,81,1.45,NP,1675722553
329,Grindavik,63.8424,-22.4338,0.26,64,75,13.38,IS,1675722554
330,Ternate,0.8,127.4,25.32,85,100,2.36,ID,1675722555
331,Nishihara,26.1842,127.7558,19.6,91,40,4.63,JP,1675722557
332,Salinas,36.6777,-121.6555,16.65,55,0,4.12,US,1675722498
333,Banff,51.1762,-115.5698,5.57,44,92,5.14,CA,1675722270
334,Todos Santos,23.45,-110.2167,27.95,76,8,5.59,MX,1675722565
335,Mirny,62.5353,113.9611,-35.43,73,98,3.13,RU,1675722566
336,Half Moon Bay,37.4636,-122.4286,16.9,56,0,6.69,US,1675722567
337,Amapá,1.0,-52.0,22.91,97,97,1.62,BR,1675722547
338,Mponela,-13.5319,33.7401,17.76,99,100,0.82,MW,1675722569
339,Kiunga,-6.1219,141.2906,23.21,98,100,1.0,PG,1675722570
340,Ayer Tawar,4.2954,100.7548,24.67,94,20,0.0,MY,1675722573
341,Qui Nhon,13.7667,109.2333,21.71,89,89,1.37,VN,1675722574
342,Fukuechō,32.6881,128.8419,12.39,89,100,8.33,JP,1675722574
343,Long,18.0761,99.8326,22.88,64,11,0.15,TH,1675722574
344,Yazoo City,32.8551,-90.4056,19.95,61,53,3.99,US,1675722575
345,Euclides da Cunha,-10.5075,-39.0158,23.35,78,99,4.31,BR,1675722575
346,Olafsvik,64.8945,-23.7142,-0.08,56,100,17.49,IS,1675722575
347,Dikson,73.5069,80.5464,-29.96,100,100,2.62,RU,1675722576
348,Dolinsk,47.35,142.8,-17.14,94,92,1.1,RU,1675722576
349,Nikolskoye,59.7035,30.7861,-2.06,98,93,1.59,RU,1675722576
350,San Juan,-31.5375,-68.5364,35.75,13,6,7.75,AR,1675722577
351,Roura,4.7263,-52.3274,23.95,94,100,1.03,GF,1675722577
